method,mean_predicted_probability,observed_rate
EBRO-MH,0.059628862,0.013752456
EBRO-MH,0.070268825,0.029527559
EBRO-MH,0.085353237,0.037401575
EBRO-MH,0.103713440,0.052529183
EBRO-MH,0.125469062,0.101391650
EBRO-MH,0.151389726,0.154285714
EBRO-MH,0.179141571,0.213414634
EBRO-MH,0.223753111,0.257874016
EBRO-MH,0.293506836,0.320866142
EBRO-MH,0.445101347,0.444007859
EBM,0.011997367,0.011787819
EBM,0.026178356,0.015748033
EBM,0.044808250,0.021653545
EBM,0.070854464,0.033398821
EBM,0.106540306,0.076771652
EBM,0.153948253,0.094488189
EBM,0.216403019,0.188605110
EBM,0.288628743,0.281496062
EBM,0.399909093,0.342519684
EBM,0.601545368,0.555992142
