threshold,net_benefit,treat_all,analysis,method
0.02,0.335671768707483,0.335671768707483,PIDD cross-validation,EBRO-MH
0.03,0.3288230240549828,0.3288230240549828,PIDD cross-validation,EBRO-MH
0.039999999999999994,0.3218315972222222,0.3218315972222222,PIDD cross-validation,EBRO-MH
0.049999999999999996,0.31469298245614036,0.3146929824561403,PIDD cross-validation,EBRO-MH
0.06,0.3074024822695035,0.3074024822695035,PIDD cross-validation,EBRO-MH
0.06999999999999999,0.2999551971326165,0.2999551971326165,PIDD cross-validation,EBRO-MH
0.07999999999999999,0.2923460144927536,0.2923460144927536,PIDD cross-validation,EBRO-MH
0.09,0.28456959706959706,0.28456959706959706,PIDD cross-validation,EBRO-MH
0.09999999999999999,0.27662037037037035,0.27662037037037035,PIDD cross-validation,EBRO-MH
0.10999999999999999,0.2684925093632959,0.2684925093632959,PIDD cross-validation,EBRO-MH
0.11999999999999998,0.2603574810606061,0.2601799242424242,PIDD cross-validation,EBRO-MH
0.12999999999999998,0.25264906609195403,0.25167624521072796,PIDD cross-validation,EBRO-MH
0.13999999999999999,0.2446705426356589,0.24297480620155038,PIDD cross-validation,EBRO-MH
0.14999999999999997,0.23743872549019612,0.2340686274509804,PIDD cross-validation,EBRO-MH
0.15999999999999998,0.23648313492063497,0.2249503968253968,PIDD cross-validation,EBRO-MH
0.16999999999999996,0.234375,0.2156124497991968,PIDD cross-validation,EBRO-MH
0.17999999999999997,0.23138973577235772,0.20604674796747968,PIDD cross-validation,EBRO-MH
0.18999999999999997,0.23034014917695472,0.1962448559670782,PIDD cross-validation,EBRO-MH
0.19999999999999996,0.2275390625,0.18619791666666666,PIDD cross-validation,EBRO-MH
0.20999999999999996,0.21682159810126583,0.17589662447257384,PIDD cross-validation,EBRO-MH
0.21999999999999995,0.2128071581196581,0.16533119658119658,PIDD cross-validation,EBRO-MH
0.22999999999999995,0.21332183441558444,0.15449134199134198,PIDD cross-validation,EBRO-MH
0.23999999999999996,0.20860745614035092,0.14336622807017543,PIDD cross-validation,EBRO-MH
0.24999999999999994,0.2035590277777778,0.13194444444444445,PIDD cross-validation,EBRO-MH
0.25999999999999995,0.19598113738738737,0.12021396396396394,PIDD cross-validation,EBRO-MH
0.26999999999999996,0.19679295091324203,0.10816210045662097,PIDD cross-validation,EBRO-MH
0.27999999999999997,0.1976996527777778,0.09577546296296297,PIDD cross-validation,EBRO-MH
0.29,0.1968713321596244,0.08303990610328632,PIDD cross-validation,EBRO-MH
0.3,0.18843005952380953,0.06994047619047611,PIDD cross-validation,EBRO-MH
0.31,0.18132925724637677,0.05646135265700475,PIDD cross-validation,EBRO-MH
0.31999999999999995,0.18114276960784315,0.042585784313725505,PIDD cross-validation,EBRO-MH
0.32999999999999996,0.17313821517412936,0.028296019900497515,PIDD cross-validation,EBRO-MH
0.33999999999999997,0.16556186868686873,0.01357323232323232,PIDD cross-validation,EBRO-MH
0.35,0.1569511217948718,-0.0016025641025641524,PIDD cross-validation,EBRO-MH
0.36,0.15380859375,-0.01725260416666674,PIDD cross-validation,EBRO-MH
0.36999999999999994,0.1488715277777778,-0.03339947089947082,PIDD cross-validation,EBRO-MH
0.37999999999999995,0.13944892473118284,-0.0500672043010752,PIDD cross-validation,EBRO-MH
0.38999999999999996,0.1357581967213115,-0.06728142076502724,PIDD cross-validation,EBRO-MH
0.39999999999999997,0.13368055555555558,-0.08506944444444442,PIDD cross-validation,EBRO-MH
0.41,0.12711864406779663,-0.10346045197740106,PIDD cross-validation,EBRO-MH
0.41999999999999993,0.12248563218390805,-0.12248563218390796,PIDD cross-validation,EBRO-MH
0.42999999999999994,0.11318987573099419,-0.14217836257309935,PIDD cross-validation,EBRO-MH
0.43999999999999995,0.1064918154761905,-0.1625744047619047,PIDD cross-validation,EBRO-MH
0.44999999999999996,0.09919507575757577,-0.18371212121212116,PIDD cross-validation,EBRO-MH
0.45999999999999996,0.09268904320987656,-0.20563271604938277,PIDD cross-validation,EBRO-MH
0.47,0.09087558962264151,-0.22838050314465413,PIDD cross-validation,EBRO-MH
0.4799999999999999,0.08393429487179489,-0.2520032051282051,PIDD cross-validation,EBRO-MH
0.48999999999999994,0.0757761437908497,-0.2765522875816993,PIDD cross-validation,EBRO-MH
0.49999999999999994,0.07421875000000001,-0.3020833333333333,PIDD cross-validation,EBRO-MH
0.02,0.3356983418367347,0.335671768707483,PIDD cross-validation,LR
0.03,0.3292660008591065,0.3288230240549828,PIDD cross-validation,LR
0.039999999999999994,0.3230794270833333,0.3218315972222222,PIDD cross-validation,LR
0.049999999999999996,0.3172286184210526,0.3146929824561403,PIDD cross-validation,LR
0.06,0.31164117907801414,0.3074024822695035,PIDD cross-validation,LR
0.06999999999999999,0.3055135528673835,0.2999551971326165,PIDD cross-validation,LR
0.07999999999999999,0.3010076992753623,0.2923460144927536,PIDD cross-validation,LR
0.09,0.2945713141025641,0.28456959706959706,PIDD cross-validation,LR
0.09999999999999999,0.28978587962962965,0.27662037037037035,PIDD cross-validation,LR
0.10999999999999999,0.28661926498127344,0.2684925093632959,PIDD cross-validation,LR
0.11999999999999998,0.28480113636363635,0.2601799242424242,PIDD cross-validation,LR
0.12999999999999998,0.28057650862068967,0.25167624521072796,PIDD cross-validation,LR
0.13999999999999999,0.27734375,0.24297480620155038,PIDD cross-validation,LR
0.14999999999999997,0.27389705882352944,0.2340686274509804,PIDD cross-validation,LR
0.15999999999999998,0.2685391865079365,0.2249503968253968,PIDD cross-validation,LR
0.16999999999999996,0.2613579317269077,0.2156124497991968,PIDD cross-validation,LR
0.17999999999999997,0.25088922764227645,0.20604674796747968,PIDD cross-validation,LR
0.18999999999999997,0.24487204218106998,0.1962448559670782,PIDD cross-validation,LR
0.19999999999999996,0.23600260416666666,0.18619791666666666,PIDD cross-validation,LR
0.20999999999999996,0.23332014767932494,0.17589662447257384,PIDD cross-validation,LR
0.21999999999999995,0.22629540598290598,0.16533119658119658,PIDD cross-validation,LR
