characteristic,development_cohort,external_cohort
No. of participants,1879,1078
"Chronic kidney disease, No. (%)",697 (37.1),302 (28.0)
"Female, No. (%)",877 (46.7),520 (48.2)
"Age, y",59.8 (11.8),64.3 (10.2)
"Diabetes duration, y",12.1 (10.2),10.0 (8.9)
Body mass index,33.0 (7.8),25.4 (3.5)
"Systolic blood pressure, mm Hg",130.0 (19.6),126.2 (15.8)
"Diastolic blood pressure, mm Hg",71.7 (13.0),73.8 (9.6)
"Glycated hemoglobin, %",7.5 (1.8),7.2 (1.3)
"Total cholesterol, mg/dL",177.5 (45.4),164.3 (37.7)
"HDL cholesterol, mg/dL",48.4 (14.7),47.0 (11.5)
"Triglycerides, mg/dL",180.5 (143.2),148.9 (110.7)
"Uric acid, mg/dL",5.6 (1.6),5.0 (1.4)
"Estimated GFR, mL/min/1.73 m2",85.8 (24.0),88.4 (17.5)
"Urine albumin-to-creatinine ratio, median (IQR), mg/g",13.1 (7.1-44.1),10.7 (6.2-27.5)
