variant,repeat,fold,training_time_seconds,rule_count,average_condition_length,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
Full EBRO-MH,0,1,3.1215796280002905,20,1.75,0.7516442739345405,0.38190954773869346,0.1190265577279203,0.024313718970893423,0.38448830804062467,0.07169335631647589,1.0672262584346413
Uniform prior,0,1,1.8287670869995054,20,1.7,0.7607469145536457,0.41321152494729446,0.11764847054903543,0.018545329489724368,0.3805645387648088,0.0865927687036069,1.0699930642712754
Without MH rejuvenation,0,1,3.3683964289994037,20,1.75,0.7516442739345405,0.38190954773869346,0.1190265577279203,0.024313718970893423,0.38448830804062467,0.07169335631647589,1.0672262584346413
Single best rule,0,1,3.1009488239997154,20,1.75,0.68500252504586,0.3874458874458874,0.12324491034297126,0.009839192373588422,0.39680621793433996,-0.16259717454461092,0.916938814024587
Full EBRO-MH,0,2,2.6323874480003724,20,1.7,0.732885917432246,0.3978494623655914,0.12040652078591962,0.015261684050129457,0.39058056088466253,0.213612568761988,1.148057173550101
Uniform prior,0,2,1.4456831099996634,20,1.75,0.7379671482303558,0.38452520515826494,0.11923157291560603,0.013888943202408776,0.38927414240175645,0.3406780238638701,1.2202595727566836
Without MH rejuvenation,0,2,5.623231324999324,20,1.7,0.732885917432246,0.3978494623655914,0.12040652078591962,0.015261684050129457,0.39058056088466253,0.213612568761988,1.148057173550101
Single best rule,0,2,4.066253642000447,20,1.7,0.6651724513219288,0.36216943074854324,0.12430539629719183,0.0009621608067132005,0.39611171408529106,0.049159933757409416,1.0388888408204715
Full EBRO-MH,0,3,4.190975046999483,20,1.8,0.7341160365800691,0.35902536051715567,0.12011848915781984,0.01548795092885863,0.3901690163126583,0.07896202647969003,1.0607058927823154
Uniform prior,0,3,1.7490648670000155,20,1.85,0.7208198664242373,0.3918722786647315,0.12152009293225385,0.02295041682490424,0.3961231299891725,0.12371421288250416,1.0792623319810786
Without MH rejuvenation,0,3,3.4777086089998193,20,1.8,0.7341160365800691,0.35902536051715567,0.12011848915781984,0.01548795092885863,0.3901690163126583,0.07896202647969003,1.0607058927823154
Single best rule,0,3,3.4426331289996597,20,1.8,0.5651813377346038,0.29714285714285715,0.13146662550375066,0.0004829838475912951,0.4304088392552639,0.11006639288515689,1.0644061960909736
Full EBRO-MH,0,4,3.426819933999468,20,1.75,0.7548151949486219,0.41289198606271776,0.11813934109268784,0.018160519790003014,0.3821731017754071,0.14257377885659792,1.1232027752848517
Uniform prior,0,4,1.658396860000721,20,1.95,0.7425538789653958,0.41739130434782606,0.1208058101733918,0.03193643788116064,0.39032769611340257,-0.005561104833071563,1.0103066797147127
Without MH rejuvenation,0,4,3.6028794200001357,20,1.75,0.7548151949486219,0.41289198606271776,0.11813934109268784,0.018160519790003014,0.3821731017754071,0.14257377885659792,1.1232027752848517
Single best rule,0,4,3.879706785000053,20,1.75,0.6440947213419124,0.3877349159248269,0.1241683398701462,0.014590151586837389,0.4075951381409954,0.3645739026905107,1.2204110501494976
Full EBRO-MH,0,5,3.588972542999727,20,1.65,0.6925582805147411,0.34895191122071517,0.12478873753256178,0.022659053220297008,0.4063203559332349,-0.109887555731282,0.9273157613628747
Uniform prior,0,5,1.7202526970004328,20,1.95,0.7219676326066775,0.38970076548364646,0.12103519753022308,0.02058177946946614,0.3945463811645816,-0.2133341004426545,0.8721639599161365
Without MH rejuvenation,0,5,3.0750894880002306,20,1.65,0.6925582805147411,0.34895191122071517,0.12478873753256178,0.022659053220297008,0.4063203559332349,-0.109887555731282,0.9273157613628747
Single best rule,0,5,3.1933740349995787,20,1.65,0.5722564342648612,0.28488372093023256,0.13061030007247254,0.011370053478964196,0.42835256823656437,0.6363939741660984,1.3847562853712685
Full EBRO-MH,1,1,3.2233159610004805,20,1.65,0.7639346601966942,0.4216290212183436,0.11745680503890785,0.022682881203233432,0.3783309958652011,0.15579309112753462,1.1184349387506398
Uniform prior,1,1,1.6790413050002826,20,1.8,0.76936201173298,0.42587601078167114,0.11558670748340616,0.0186390716471767,0.37480587071110644,-0.015048609213043362,1.0063194694265607
Without MH rejuvenation,1,1,3.1501948820005055,20,1.65,0.7639346601966942,0.4216290212183436,0.11745680503890785,0.022682881203233432,0.3783309958652011,0.15579309112753462,1.1184349387506398
Single best rule,1,1,3.167803202999494,20,1.65,0.5734369167692986,0.2967171717171717,0.1313040796667353,0.0003592699536914268,0.4302214492080601,0.5064333030885313,1.30415865572078
Full EBRO-MH,1,2,3.3893649219999133,20,1.95,0.7581188362992983,0.3965616045845272,0.11813448591851743,0.028014041126028486,0.382207580709288,-0.012092253007101223,0.9759052217384822
Uniform prior,1,2,1.7336223460006295,20,1.9,0.7662833527536398,0.41704918032786886,0.11688044797729799,0.023572680324250108,0.37813959405460684,-0.040301910848899905,0.9450171194739884
Without MH rejuvenation,1,2,3.294705111999974,20,1.95,0.7581188362992983,0.3965616045845272,0.11813448591851743,0.028014041126028486,0.382207580709288,-0.012092253007101223,0.9759052217384822
Single best rule,1,2,3.0074783669997487,20,1.95,0.6836696690759829,0.38748627881448955,0.12331704001075729,0.004519663022153988,0.3975837230669221,-0.08695440313721133,0.9389558125589865
Full EBRO-MH,1,3,3.0060127550004836,20,1.8,0.7887609844547686,0.4511691884456671,0.11443392983636352,0.03970250000208398,0.3680446042797692,0.028817159020374426,1.0145358225905463
Uniform prior,1,3,1.793661589000294,20,1.65,0.7678759177218033,0.4015151515151515,0.11738530795245779,0.03004422277899767,0.3773703464496212,0.07343423011908932,1.0447987641556975
Without MH rejuvenation,1,3,3.0485216369997943,20,1.8,0.7887609844547686,0.4511691884456671,0.11443392983636352,0.03970250000208398,0.3680446042797692,0.028817159020374426,1.0145358225905463
Single best rule,1,3,4.165753387999757,20,1.8,0.6847145714202983,0.4074844074844075,0.1224882554537023,0.004702575635059005,0.3983049166681662,0.012687324194397196,1.0348638148855134
Full EBRO-MH,1,4,3.1677035650000107,20,1.75,0.7634447325458561,0.42150170648464164,0.11648662018230001,0.020075759835521952,0.3767526900788259,0.17371593038143815,1.101056995477687
Uniform prior,1,4,1.6238097939994987,20,1.9,0.7341134079195877,0.3946711074104913,0.12023140837958572,0.01804724081105999,0.39187667072211435,0.10311381593176538,1.0277025957797825
Without MH rejuvenation,1,4,3.087402080999709,20,1.75,0.7634447325458561,0.42150170648464164,0.11648662018230001,0.020075759835521952,0.3767526900788259,0.17371593038143815,1.101056995477687
Single best rule,1,4,3.2573389010003666,20,1.75,0.5789397868049553,0.29327902240325865,0.12983673279073243,0.001141908522009396,0.42590052326141514,-0.01728445878917622,0.9848858897721109
Full EBRO-MH,1,5,5.425663985999563,20,1.75,0.7402605717212458,0.3567193675889328,0.1176183515583328,0.016828174301660954,0.3844680484543426,-0.20276523670785526,0.9193566527723384
Uniform prior,1,5,1.7378122330001133,20,1.9,0.7649142498159351,0.37556789500252397,0.11553058048468992,0.01627469844286537,0.37599807818031367,-0.070328608106613,1.0154420228821017
Without MH rejuvenation,1,5,3.0850461500003803,20,1.75,0.7402605717212458,0.3567193675889328,0.1176183515583328,0.016828174301660954,0.3844680484543426,-0.20276523670785526,0.9193566527723384
Single best rule,1,5,3.0716682570000557,20,1.75,0.574896363519959,0.2874493927125506,0.13013552745627888,0.00166418535231105,0.426864753021198,-0.0744074067924927,0.9578976758053971
Full EBRO-MH,2,1,3.2481749690005017,20,1.75,0.7245025260439019,0.3971631205673759,0.1203863528598798,0.009683972329519988,0.39217206053778153,-0.14927692661225714,0.9083677742823003
Uniform prior,2,1,4.51187039100023,20,1.8,0.7383882821903425,0.39231278992710406,0.11953276817011226,0.01250354601947506,0.3891676795864919,-0.18867649076219378,0.8849981277878356
Without MH rejuvenation,2,1,3.5827756489998137,20,1.75,0.7245025260439019,0.3971631205673759,0.1203863528598798,0.009683972329519988,0.39217206053778153,-0.14927692661225714,0.9083677742823003
Single best rule,2,1,3.060130513999866,20,1.75,0.5533258746339682,0.28627838104639686,0.13196622910773023,0.0007888127428171687,0.4325802162290148,-0.15725945246541936,0.9084916517799084
Full EBRO-MH,2,2,3.815532632999748,20,1.9,0.658625461669108,0.36502347417840375,0.1261539899550911,0.011026892540530029,0.41330929075385736,0.20870724326711457,1.122141205199276
Uniform prior,2,2,1.7474752699999954,20,1.65,0.7092031284166509,0.37583892617449666,0.12335489994889136,0.017322950315860834,0.4011509113569926,0.33016924430806127,1.2076280118335054
Without MH rejuvenation,2,2,2.9721463679998124,20,1.9,0.658625461669108,0.36502347417840375,0.1261539899550911,0.011026892540530029,0.41330929075385736,0.20870724326711457,1.122141205199276
Single best rule,2,2,4.104527189999317,20,1.9,0.5448409382054837,0.24761904761904763,0.13203968085135306,0.0050370133217339476,0.4330237065688273,0.40260333348894617,1.2433251624155013
Full EBRO-MH,2,3,7.674747303999538,20,1.8,0.7543660742724374,0.40153256704980844,0.11721541410447503,0.015287404070774158,0.38093071424427927,-0.13893866216544146,0.9080860535524479
Uniform prior,2,3,1.8116546680003012,20,1.85,0.7699682185937701,0.4169079328314997,0.11511149376334245,0.030815225727019207,0.3725215963288291,-0.14082937506044443,0.920319649790484
Without MH rejuvenation,2,3,9.611526296000193,20,1.8,0.7543660742724374,0.40153256704980844,0.11721541410447503,0.015287404070774158,0.38093071424427927,-0.13893866216544146,0.9080860535524479
Single best rule,2,3,4.466730044000542,20,1.8,0.5652682049146855,0.2891566265060241,0.13159009010432654,0.000175046201919965,0.43124033182635646,0.13645469967882057,1.0816064157089083
Full EBRO-MH,2,4,2.501438648999283,20,1.65,0.7669319600499376,0.40946745562130177,0.11581441833725514,0.02384393477148433,0.37418986937333476,0.09003656139056802,1.079643554572496
Uniform prior,2,4,1.4234380600000804,20,1.9,0.7219531275008804,0.3637484586929716,0.12026880711772185,0.007710446612314919,0.39336785230069043,-0.0291732377767487,0.9858940196142022
Without MH rejuvenation,2,4,2.7897969810001086,20,1.65,0.7669319600499376,0.40946745562130177,0.11581441833725514,0.02384393477148433,0.37418986937333476,0.09003656139056802,1.079643554572496
Single best rule,2,4,3.0009193229998345,20,1.65,0.6766011636095906,0.3988881167477415,0.12318346993534635,0.006134561315228087,0.401033189362109,-0.10820731508752787,0.9390603636583775
Full EBRO-MH,2,5,8.191182042000037,20,1.85,0.7580993509715419,0.4083898827884022,0.11375032674614094,0.01624740896232725,0.3737684436823013,0.1472504360079318,1.0897953367463702
Uniform prior,2,5,1.9757687010005611,20,2.0,0.7511278970197509,0.4106925880923451,0.11798761336369756,0.03957738826647553,0.38488098570712215,0.15976217768491746,1.1091805945489468
Without MH rejuvenation,2,5,6.919577794000361,20,1.85,0.7580993509715419,0.4083898827884022,0.11375032674614094,0.01624740896232725,0.3737684436823013,0.1472504360079318,1.0897953367463702
Single best rule,2,5,4.655021671999748,20,1.85,0.5766439786804956,0.30355515041020964,0.1311202068774081,0.0006429014211999096,0.42950059861269585,1.4508453705840005,1.870132190620552
Full EBRO-MH,3,1,3.2634901639994496,20,1.95,0.747509885604444,0.4227005870841487,0.11606642522977102,0.021652301348948216,0.3809390470080848,0.23330308838315367,1.1785252108563926
Uniform prior,3,1,1.769555195999601,20,1.9,0.7412731221343724,0.41022364217252394,0.117540530590338,0.02013752354560228,0.38611228613690984,0.5247909760915301,1.3622841778355894
Without MH rejuvenation,3,1,3.214572685999883,20,1.95,0.747509885604444,0.4227005870841487,0.11606642522977102,0.021652301348948216,0.3809390470080848,0.23330308838315367,1.1785252108563926
Single best rule,3,1,3.2428315819997806,20,1.95,0.6012967557651887,0.3232180663373324,0.13033952563925996,0.0004479330809750992,0.426809060207613,1.4571880459104007,1.889457379323828
Full EBRO-MH,3,2,3.2785758569998507,20,1.8,0.7635140869610364,0.4222520107238606,0.11502656860519336,0.017763891718564583,0.3748918672381961,0.2285004691147287,1.1159005631052243
Uniform prior,3,2,1.6067883920004533,20,1.8,0.7129853454068729,0.364656381486676,0.12184041585555835,0.014032477001909925,0.3978837739284415,0.01668892213822417,0.9731394759218623
Without MH rejuvenation,3,2,3.357376712000587,20,1.8,0.7635140869610364,0.4222520107238606,0.11502656860519336,0.017763891718564583,0.3748918672381961,0.2285004691147287,1.1159005631052243
Single best rule,3,2,3.2328431850000925,20,1.8,0.5484898590055804,0.288406390823433,0.132094479850654,0.00038454182689717786,0.43294372583899715,1.1243841145815863,1.6727295971542433
Full EBRO-MH,3,3,3.1062893660000555,20,1.55,0.7330212105690399,0.3821892393320965,0.12026366234309577,0.011553192222073953,0.389465934258919,0.14673475644204695,1.0932474288385454
Uniform prior,3,3,1.6740218959994309,20,1.75,0.7769350662836523,0.4222222222222222,0.11542514391203117,0.013998192856650242,0.3732254172610666,0.039360485266035417,1.0279424682162783
Without MH rejuvenation,3,3,2.996159328000431,20,1.55,0.7330212105690399,0.3821892393320965,0.12026366234309577,0.011553192222073953,0.389465934258919,0.14673475644204695,1.0932474288385454
Single best rule,3,3,3.0904562550003902,20,1.55,0.6638754344607096,0.36119803308001786,0.1244926203661001,0.00902653964612357,0.39708862252301613,0.265064101338713,1.1625407659636895
Full EBRO-MH,3,4,2.986716909000279,20,1.85,0.6817039597938475,0.3306122448979592,0.12428748035838787,0.012602907886303498,0.406812645366244,-0.23784820609227328,0.8841702095787967
Uniform prior,3,4,1.6140502690004723,20,1.85,0.7289450886712122,0.37620396600566575,0.11967263376755931,0.015774671166235002,0.3905035023774806,-0.12394347635791132,0.9546419950460496
Without MH rejuvenation,3,4,3.184504198000468,20,1.85,0.6817039597938475,0.3306122448979592,0.12428748035838787,0.012602907886303498,0.406812645366244,-0.23784820609227328,0.8841702095787967
Single best rule,3,4,4.033958607999921,20,1.85,0.552665538269471,0.2855740922473013,0.13195800263373736,0.0009055402338486451,0.4328939719642307,-0.5690814686920905,0.6585745533567158
Full EBRO-MH,3,5,2.732369368000036,20,1.9,0.7250512180287461,0.38698328935795956,0.11896261959827767,0.013132807331811531,0.38963356880899463,-0.014697690384375114,0.9838599817697125
Uniform prior,3,5,1.3682093850002275,20,1.85,0.7175055619578092,0.39849624060150374,0.11890914157257633,0.008243393192421573,0.3911124265215363,-0.0515959176624218,0.9798566610380691
Without MH rejuvenation,3,5,4.410850809999829,20,1.9,0.7250512180287461,0.38698328935795956,0.11896261959827767,0.013132807331811531,0.38963356880899463,-0.014697690384375114,0.9838599817697125
Single best rule,3,5,2.4933207229996697,20,1.9,0.5746252680943692,0.29484386347131447,0.13098309479925924,0.01193287705995619,0.42943724130690264,-0.35926910054967093,0.7746075546209923
Full EBRO-MH,4,1,3.1440300410004056,20,1.85,0.7258274265890323,0.39436619718309857,0.11927417512102723,0.012971444637071798,0.3903868455179178,0.016806994452072493,1.0089165756112253
Uniform prior,4,1,1.6825811730004716,20,1.85,0.7142296813651615,0.3819548872180451,0.1205997560306655,0.004904192213713899,0.39518200420181526,-0.036014285589974396,0.977484049043668
Without MH rejuvenation,4,1,3.127578820999588,20,1.85,0.7258274265890323,0.39436619718309857,0.11927417512102723,0.012971444637071798,0.3903868455179178,0.016806994452072493,1.0089165756112253
Single best rule,4,1,3.0667759259995364,20,1.85,0.5656776404693991,0.29992464204973623,0.13090595189970694,0.006902508079962297,0.42781557355430805,-0.4279501742878646,0.7308156478292388
Full EBRO-MH,4,2,2.445352329999878,20,1.85,0.756119892684086,0.42907058001397624,0.11626469513433822,0.019432576229008576,0.3799300275302952,0.38304780823112083,1.2432497901897686
Uniform prior,4,2,1.3752296850007042,20,1.8,0.7261861613592817,0.3690176322418136,0.11668963752164935,0.014931385930646171,0.3861634907566003,0.25394384946965126,1.134079766559505
Without MH rejuvenation,4,2,2.418558906999351,20,1.85,0.756119892684086,0.42907058001397624,0.11626469513433822,0.019432576229008576,0.3799300275302952,0.38304780823112083,1.2432497901897686
Single best rule,4,2,2.4649174969999876,20,1.85,0.5798918453684316,0.30645879732739423,0.13091439494701565,0.0010116629366965502,0.42815711135960305,0.5467589610995183,1.326865017023417
Full EBRO-MH,4,3,2.686405686999933,20,1.75,0.7338559342764912,0.37840616966580976,0.12012952114974643,0.027966798876756967,0.39109250238062554,0.19406129211277018,1.1478812862139882
Uniform prior,4,3,1.5710548429997289,20,1.8,0.723153797843098,0.37364620938628157,0.12027206327643157,0.027215356056672475,0.3940876519856074,-0.07000014830355966,0.9984740226573373
Without MH rejuvenation,4,3,3.039091687999644,20,1.75,0.7338559342764912,0.37840616966580976,0.12012952114974643,0.027966798876756967,0.39109250238062554,0.19406129211277018,1.1478812862139882
