dataset,variant,repeat,fold,status,message
nhanes_dm,Quantile clinical,0,1,succeeded,
nhanes_dm,Outcome-blind random,0,1,succeeded,
nhanes_dm,Reviewed Qwen only,0,1,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Reviewed Qwen plus quantile,0,1,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Quantile clinical,0,2,succeeded,
nhanes_dm,Outcome-blind random,0,2,succeeded,
nhanes_dm,Reviewed Qwen only,0,2,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Reviewed Qwen plus quantile,0,2,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Quantile clinical,0,3,succeeded,
nhanes_dm,Outcome-blind random,0,3,succeeded,
nhanes_dm,Reviewed Qwen only,0,3,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Reviewed Qwen plus quantile,0,3,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Quantile clinical,0,4,succeeded,
nhanes_dm,Outcome-blind random,0,4,succeeded,
nhanes_dm,Reviewed Qwen only,0,4,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Reviewed Qwen plus quantile,0,4,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Quantile clinical,0,5,succeeded,
nhanes_dm,Outcome-blind random,0,5,succeeded,
nhanes_dm,Reviewed Qwen only,0,5,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Reviewed Qwen plus quantile,0,5,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Quantile clinical,1,1,succeeded,
nhanes_dm,Outcome-blind random,1,1,succeeded,
nhanes_dm,Reviewed Qwen only,1,1,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Reviewed Qwen plus quantile,1,1,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Quantile clinical,1,2,succeeded,
nhanes_dm,Outcome-blind random,1,2,succeeded,
nhanes_dm,Reviewed Qwen only,1,2,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Reviewed Qwen plus quantile,1,2,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Quantile clinical,1,3,succeeded,
nhanes_dm,Outcome-blind random,1,3,succeeded,
nhanes_dm,Reviewed Qwen only,1,3,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Reviewed Qwen plus quantile,1,3,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Quantile clinical,1,4,succeeded,
nhanes_dm,Outcome-blind random,1,4,succeeded,
nhanes_dm,Reviewed Qwen only,1,4,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Reviewed Qwen plus quantile,1,4,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Quantile clinical,1,5,succeeded,
nhanes_dm,Outcome-blind random,1,5,succeeded,
nhanes_dm,Reviewed Qwen only,1,5,skipped,no reviewed Qwen rule JSON was supplied
nhanes_dm,Reviewed Qwen plus quantile,1,5,skipped,no reviewed Qwen rule JSON was supplied
