dataset,method,repeat,seed,fold,n_test,positive_test,threshold,training_time_seconds,rule_count,average_condition_length,initializer_mode,reviewed_rule_count,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_dm,EBRO-MH,0,42,1,2747,433,0.1135100711547452,3.2790454169999066,20.0,1.75,hybrid,0,0.7516442739345405,0.3819095477386934,0.1190265577279203,0.0243137189708934,0.3844883080406246,0.0716933563164758,1.0672262584346413
nhanes_dm,LR,0,42,1,2747,433,0.1342813475840043,0.050583596000024,,,not_applicable,0,0.8165474339346204,0.4522173641474079,0.1081746227991745,0.0204696384648146,0.3471898560592975,0.016206247703316,1.0503173253873637
nhanes_dm,Random Forest,0,42,1,2747,433,0.1513395651510063,5.361432910999838,,,not_applicable,0,0.8188189771667987,0.4746209624258404,0.1092048103602552,0.0191099088607345,0.3467414894308135,-0.1291537536968481,0.940653624934605
nhanes_dm,XGBoost,0,42,1,2747,433,0.2173351658851166,1.442638764000094,,,not_applicable,0,0.8267823530233682,0.4880066170388751,0.1076146875542648,0.0151500909002076,0.3415969276501162,-0.1385530070965847,0.9492889071677194
nhanes_dm,RuleFit,0,42,1,2747,433,0.146454855421807,19.463126697000007,22.0,2.1818181818181817,not_applicable,0,0.8046946890201425,0.4564643799472295,0.1115621947739344,0.02005140125371,0.3550685885188994,-0.1212491323731875,0.9591716504846752
nhanes_dm,BRL,0,42,1,2747,433,0.2031030328394245,31.29068834700001,2.0,1.0,not_applicable,0,0.6078538906665123,0.3257690368129097,0.1295273340673378,0.0084125645459317,0.4229474938696383,0.3363307929885769,1.222232025516066
nhanes_dm,EBM,0,42,1,2747,433,0.1828050648936339,18.89560215000006,,,not_applicable,0,0.8305300001397258,0.4907612712490761,0.1057104943277022,0.0198590498347429,0.3372755120129151,-0.1569329760120191,0.9332932576056292
nhanes_dm,EBRO-MH,0,42,2,2746,433,0.1840255027892362,2.815126315999805,20.0,1.7,hybrid,0,0.732885917432246,0.3978494623655914,0.1204065207859196,0.0152616840501294,0.3905805608846625,0.213612568761988,1.148057173550101
nhanes_dm,LR,0,42,2,2746,433,0.1122409586202934,0.1777320779999627,,,not_applicable,0,0.8179728195588944,0.4430005906674542,0.1068648572087299,0.0176565666050828,0.3480078748912744,0.0692697437833623,1.0348501966203192
nhanes_dm,Random Forest,0,42,2,2746,433,0.1209115292301316,4.588013365000052,,,not_applicable,0,0.8401299413197221,0.4511545293072824,0.1023328400914751,0.0238833301423256,0.3302525075915882,0.1618574480956637,1.145376407859054
nhanes_dm,XGBoost,0,42,2,2746,433,0.135600820026483,1.8042929989999263,,,not_applicable,0,0.8372223869703224,0.467515923566879,0.1018254338859154,0.0249192661334167,0.3317114873659171,0.1368372408329903,1.1149875602946322
nhanes_dm,RuleFit,0,42,2,2746,433,0.1548550478263179,13.58908535799992,27.0,1.9259259259259256,not_applicable,0,0.8162115125972389,0.4632152588555858,0.1066846278460272,0.0145270267996596,0.3449628633980741,0.193540828331022,1.136235247393331
nhanes_dm,BRL,0,42,2,2746,433,0.1774635381562456,46.98272106699983,3.0,1.0,not_applicable,0,0.5217382621971006,0.231629392971246,0.1326609068491094,0.0004581464617222,0.4352221230356306,-0.064453339762833,0.9593637327375588
nhanes_dm,EBM,0,42,2,2746,433,0.1599916743028197,17.574733615000014,,,not_applicable,0,0.839633700072589,0.4954892435808466,0.1009540934969411,0.0220082537816265,0.3295078019994019,0.1093080052182717,1.085685369427984
nhanes_dm,EBRO-MH,0,42,3,2746,433,0.1085638773482782,2.991472439000063,20.0,1.8,hybrid,0,0.7341160365800691,0.3590253605171556,0.1201184891578198,0.0154879509288586,0.3901690163126583,0.07896202647969,1.0607058927823154
nhanes_dm,LR,0,42,3,2746,433,0.1639263473389313,0.1935927800000172,,,not_applicable,0,0.820376644111154,0.4693140794223827,0.1065862732082722,0.0242707345346089,0.3424078374372915,0.1559843885348608,1.124561369750585
nhanes_dm,Random Forest,0,42,3,2746,433,0.1642007120611823,3.697086655000021,,,not_applicable,0,0.8305026614306725,0.4771287825475017,0.1045132582994614,0.0243925926267631,0.3357679431479709,0.1419242008651192,1.114934836416805
nhanes_dm,XGBoost,0,42,3,2746,433,0.1675910256746061,0.9340597259999868,,,not_applicable,0,0.837353186977112,0.4959409594095941,0.1015274996896589,0.019669703338721,0.3285600265385792,0.1867963901492437,1.139343062427116
nhanes_dm,RuleFit,0,42,3,2746,433,0.1662015597398854,14.939307922999888,23.0,1.8695652173913044,not_applicable,0,0.8169698530946183,0.4669479606188467,0.1063412065246482,0.0114622536705552,0.3435099280785069,0.1933918658046147,1.1428868991890544
nhanes_dm,BRL,0,42,3,2746,433,0.1724477615487814,36.7183437650001,3.0,1.0,not_applicable,0,0.5503669888740117,0.2895705521472392,0.1319370373635204,0.0001147267324205,0.4322766609487849,0.426169273794146,1.2561583000326093
nhanes_dm,EBM,0,42,3,2746,433,0.1717153146634396,19.119612280999945,,,not_applicable,0,0.8445367033805312,0.4996347699050402,0.1003339184162821,0.0177425083315492,0.3234250430476085,0.2402736321893531,1.18636839376694
nhanes_dm,EBRO-MH,0,42,4,2746,432,0.2044573133272116,5.373032808000062,20.0,1.75,hybrid,0,0.7548151949486219,0.4128919860627177,0.1181393410926878,0.018160519790003,0.3821731017754071,0.1425737788565979,1.1232027752848517
