dataset,repeat,fold,rank,rule_text,predicted_class,posterior_weight,support_n,support_percent,positive_rate,posterior_inclusion_probability,condition_count,source,llm_confidence
pidd,0,1,1,IF glucose >= 146 THEN high risk,1,0.1486877199574529,91,21.21212121212121,0.7692307692307693,0.05,1,quantile,
pidd,0,1,2,IF bmi >= 26.26 AND glucose >= 128 THEN high risk,1,0.08752571547291442,132,30.76923076923077,0.6818181818181818,0.05,2,quantile_conjunction,
pidd,0,1,3,IF age >= 25 THEN high risk,1,0.07884203560221403,303,70.62937062937063,0.44224422442244227,0.05,1,quantile,
pidd,0,1,4,IF age >= 25 AND glucose >= 104 THEN high risk,1,0.07376253340245646,213,49.65034965034965,0.568075117370892,0.05,2,quantile_conjunction,
pidd,0,1,5,IF blood_pressure >= 74 AND glucose >= 115 THEN high risk,1,0.046285569971687326,140,32.634032634032636,0.5571428571428572,0.05,2,quantile_conjunction,
pidd,0,1,6,IF bmi >= 26.26 AND pregnancies >= 7 THEN high risk,1,0.04605418647864876,76,17.715617715617714,0.6447368421052632,0.05,2,quantile_conjunction,
pidd,0,1,7,IF bmi >= 26.26 AND insulin >= 155 THEN high risk,1,0.04485543862816455,76,17.715617715617714,0.5789473684210527,0.05,2,quantile_conjunction,
pidd,0,1,8,IF blood_pressure >= 74 AND pregnancies >= 3 THEN high risk,1,0.04436081039811953,143,33.33333333333333,0.4755244755244755,0.05,2,quantile_conjunction,
pidd,0,1,9,IF age >= 23 AND bmi >= 32.4 THEN high risk,1,0.04402078164171636,194,45.22144522144522,0.4896907216494845,0.05,2,quantile_conjunction,
pidd,0,1,10,IF blood_pressure >= 82 AND diabetes_pedigree_function >= 0.66 THEN high risk,1,0.04328104641778174,26,6.0606060606060606,0.6153846153846154,0.05,2,quantile_conjunction,
pidd,0,1,11,IF age >= 28 AND blood_pressure >= 76 THEN high risk,1,0.03938216523026946,115,26.806526806526808,0.5478260869565217,0.05,2,quantile_conjunction,
pidd,0,1,12,IF age >= 23 AND bmi >= 37.94 THEN high risk,1,0.03817398406740706,76,17.715617715617714,0.5921052631578947,0.05,2,quantile_conjunction,
pidd,0,1,13,IF bmi >= 37.94 AND glucose >= 92 THEN high risk,1,0.038050820516061595,75,17.482517482517483,0.6,0.05,2,quantile_conjunction,
pidd,0,1,14,IF age >= 23 AND blood_pressure >= 74 THEN high risk,1,0.037736246602126766,205,47.785547785547784,0.4585365853658537,0.05,2,quantile_conjunction,
pidd,0,1,15,IF blood_pressure >= 76 AND bmi >= 29.88 THEN high risk,1,0.03760321082472554,135,31.46853146853147,0.5185185185185185,0.05,2,quantile_conjunction,
pidd,0,1,16,IF bmi >= 37.94 AND glucose >= 128 THEN high risk,1,0.03741891424080995,45,10.48951048951049,0.7777777777777778,0.05,2,quantile_conjunction,
pidd,0,1,17,IF age >= 41 AND skin_thickness >= 30 THEN high risk,1,0.03325425133502885,28,6.526806526806526,0.6428571428571429,0.05,2,quantile_conjunction,
pidd,0,1,18,IF glucose >= 104 AND skin_thickness >= 36 THEN high risk,1,0.030167939707924713,67,15.61771561771562,0.582089552238806,0.05,2,quantile_conjunction,
