dataset,method,repeat,fold,status,message
pidd,EBRO-MH,0,1,succeeded,
pidd,LR,0,1,succeeded,
pidd,Random Forest,0,1,succeeded,
pidd,XGBoost,0,1,succeeded,
pidd,RuleFit,0,1,succeeded,
pidd,BRL,0,1,succeeded,
pidd,EBM,0,1,succeeded,
pidd,EBRO-MH,0,2,succeeded,
pidd,LR,0,2,succeeded,
pidd,Random Forest,0,2,succeeded,
pidd,XGBoost,0,2,succeeded,
pidd,RuleFit,0,2,succeeded,
pidd,BRL,0,2,succeeded,
pidd,EBM,0,2,succeeded,
pidd,EBRO-MH,0,3,succeeded,
pidd,LR,0,3,succeeded,
pidd,Random Forest,0,3,succeeded,
pidd,XGBoost,0,3,succeeded,
pidd,RuleFit,0,3,succeeded,
pidd,BRL,0,3,succeeded,
pidd,EBM,0,3,succeeded,
pidd,EBRO-MH,0,4,succeeded,
pidd,LR,0,4,succeeded,
pidd,Random Forest,0,4,succeeded,
pidd,XGBoost,0,4,succeeded,
pidd,RuleFit,0,4,succeeded,
pidd,BRL,0,4,succeeded,
pidd,EBM,0,4,succeeded,
pidd,EBRO-MH,0,5,succeeded,
pidd,LR,0,5,succeeded,
pidd,Random Forest,0,5,succeeded,
pidd,XGBoost,0,5,succeeded,
pidd,RuleFit,0,5,succeeded,
pidd,BRL,0,5,succeeded,
pidd,EBM,0,5,succeeded,
pidd,EBRO-MH,1,1,succeeded,
pidd,LR,1,1,succeeded,
pidd,Random Forest,1,1,succeeded,
pidd,XGBoost,1,1,succeeded,
pidd,RuleFit,1,1,succeeded,
pidd,BRL,1,1,succeeded,
pidd,EBM,1,1,succeeded,
pidd,EBRO-MH,1,2,succeeded,
pidd,LR,1,2,succeeded,
pidd,Random Forest,1,2,succeeded,
pidd,XGBoost,1,2,succeeded,
pidd,RuleFit,1,2,succeeded,
pidd,BRL,1,2,succeeded,
pidd,EBM,1,2,succeeded,
pidd,EBRO-MH,1,3,succeeded,
pidd,LR,1,3,succeeded,
pidd,Random Forest,1,3,succeeded,
pidd,XGBoost,1,3,succeeded,
pidd,RuleFit,1,3,succeeded,
pidd,BRL,1,3,succeeded,
pidd,EBM,1,3,succeeded,
pidd,EBRO-MH,1,4,succeeded,
pidd,LR,1,4,succeeded,
pidd,Random Forest,1,4,succeeded,
pidd,XGBoost,1,4,succeeded,
pidd,RuleFit,1,4,succeeded,
pidd,BRL,1,4,succeeded,
pidd,EBM,1,4,succeeded,
pidd,EBRO-MH,1,5,succeeded,
pidd,LR,1,5,succeeded,
pidd,Random Forest,1,5,succeeded,
pidd,XGBoost,1,5,succeeded,
pidd,RuleFit,1,5,succeeded,
pidd,BRL,1,5,succeeded,
pidd,EBM,1,5,succeeded,
pidd,EBRO-MH,2,1,succeeded,
pidd,LR,2,1,succeeded,
pidd,Random Forest,2,1,succeeded,
pidd,XGBoost,2,1,succeeded,
pidd,RuleFit,2,1,succeeded,
pidd,BRL,2,1,succeeded,
pidd,EBM,2,1,succeeded,
pidd,EBRO-MH,2,2,succeeded,
pidd,LR,2,2,succeeded,
pidd,Random Forest,2,2,succeeded,
pidd,XGBoost,2,2,succeeded,
pidd,RuleFit,2,2,succeeded,
pidd,BRL,2,2,succeeded,
pidd,EBM,2,2,succeeded,
pidd,EBRO-MH,2,3,succeeded,
pidd,LR,2,3,succeeded,
pidd,Random Forest,2,3,succeeded,
pidd,XGBoost,2,3,succeeded,
pidd,RuleFit,2,3,succeeded,
pidd,BRL,2,3,succeeded,
pidd,EBM,2,3,succeeded,
pidd,EBRO-MH,2,4,succeeded,
pidd,LR,2,4,succeeded,
pidd,Random Forest,2,4,succeeded,
pidd,XGBoost,2,4,succeeded,
pidd,RuleFit,2,4,succeeded,
pidd,BRL,2,4,succeeded,
pidd,EBM,2,4,succeeded,
pidd,EBRO-MH,2,5,succeeded,
pidd,LR,2,5,succeeded,
pidd,Random Forest,2,5,succeeded,
pidd,XGBoost,2,5,succeeded,
pidd,RuleFit,2,5,succeeded,
pidd,BRL,2,5,succeeded,
pidd,EBM,2,5,succeeded,
pidd,EBRO-MH,3,1,succeeded,
pidd,LR,3,1,succeeded,
pidd,Random Forest,3,1,succeeded,
pidd,XGBoost,3,1,succeeded,
pidd,RuleFit,3,1,succeeded,
pidd,BRL,3,1,succeeded,
pidd,EBM,3,1,succeeded,
pidd,EBRO-MH,3,2,succeeded,
pidd,LR,3,2,succeeded,
pidd,Random Forest,3,2,succeeded,
pidd,XGBoost,3,2,succeeded,
pidd,RuleFit,3,2,succeeded,
pidd,BRL,3,2,succeeded,
pidd,EBM,3,2,succeeded,
pidd,EBRO-MH,3,3,succeeded,
pidd,LR,3,3,succeeded,
pidd,Random Forest,3,3,succeeded,
pidd,XGBoost,3,3,succeeded,
pidd,RuleFit,3,3,succeeded,
pidd,BRL,3,3,succeeded,
pidd,EBM,3,3,succeeded,
pidd,EBRO-MH,3,4,succeeded,
pidd,LR,3,4,succeeded,
pidd,Random Forest,3,4,succeeded,
pidd,XGBoost,3,4,succeeded,
pidd,RuleFit,3,4,succeeded,
pidd,BRL,3,4,succeeded,
pidd,EBM,3,4,succeeded,
pidd,EBRO-MH,3,5,succeeded,
pidd,LR,3,5,succeeded,
pidd,Random Forest,3,5,succeeded,
pidd,XGBoost,3,5,succeeded,
pidd,RuleFit,3,5,succeeded,
pidd,BRL,3,5,succeeded,
pidd,EBM,3,5,succeeded,
pidd,EBRO-MH,4,1,succeeded,
pidd,LR,4,1,succeeded,
pidd,Random Forest,4,1,succeeded,
pidd,XGBoost,4,1,succeeded,
pidd,RuleFit,4,1,succeeded,
pidd,BRL,4,1,succeeded,
pidd,EBM,4,1,succeeded,
pidd,EBRO-MH,4,2,succeeded,
pidd,LR,4,2,succeeded,
pidd,Random Forest,4,2,succeeded,
pidd,XGBoost,4,2,succeeded,
pidd,RuleFit,4,2,succeeded,
pidd,BRL,4,2,succeeded,
pidd,EBM,4,2,succeeded,
pidd,EBRO-MH,4,3,succeeded,
pidd,LR,4,3,succeeded,
pidd,Random Forest,4,3,succeeded,
pidd,XGBoost,4,3,succeeded,
pidd,RuleFit,4,3,succeeded,
pidd,BRL,4,3,succeeded,
pidd,EBM,4,3,succeeded,
pidd,EBRO-MH,4,4,succeeded,
pidd,LR,4,4,succeeded,
pidd,Random Forest,4,4,succeeded,
pidd,XGBoost,4,4,succeeded,
pidd,RuleFit,4,4,succeeded,
pidd,BRL,4,4,succeeded,
pidd,EBM,4,4,succeeded,
pidd,EBRO-MH,4,5,succeeded,
pidd,LR,4,5,succeeded,
pidd,Random Forest,4,5,succeeded,
pidd,XGBoost,4,5,succeeded,
pidd,RuleFit,4,5,succeeded,
pidd,BRL,4,5,succeeded,
pidd,EBM,4,5,succeeded,
pidd,EBRO-MH,5,1,succeeded,
pidd,LR,5,1,succeeded,
pidd,Random Forest,5,1,succeeded,
pidd,XGBoost,5,1,succeeded,
pidd,RuleFit,5,1,succeeded,
pidd,BRL,5,1,succeeded,
pidd,EBM,5,1,succeeded,
pidd,EBRO-MH,5,2,succeeded,
pidd,LR,5,2,succeeded,
pidd,Random Forest,5,2,succeeded,
pidd,XGBoost,5,2,succeeded,
pidd,RuleFit,5,2,succeeded,
pidd,BRL,5,2,succeeded,
pidd,EBM,5,2,succeeded,
pidd,EBRO-MH,5,3,succeeded,
pidd,LR,5,3,succeeded,
pidd,Random Forest,5,3,succeeded,
pidd,XGBoost,5,3,succeeded,
pidd,RuleFit,5,3,succeeded,
pidd,BRL,5,3,succeeded,
pidd,EBM,5,3,succeeded,
pidd,EBRO-MH,5,4,succeeded,
pidd,LR,5,4,succeeded,
pidd,Random Forest,5,4,succeeded,
pidd,XGBoost,5,4,succeeded,
pidd,RuleFit,5,4,succeeded,
pidd,BRL,5,4,succeeded,
pidd,EBM,5,4,succeeded,
pidd,EBRO-MH,5,5,succeeded,
pidd,LR,5,5,succeeded,
pidd,Random Forest,5,5,succeeded,
pidd,XGBoost,5,5,succeeded,
pidd,RuleFit,5,5,succeeded,
pidd,BRL,5,5,succeeded,
pidd,EBM,5,5,succeeded,
pidd,EBRO-MH,6,1,succeeded,
pidd,LR,6,1,succeeded,
pidd,Random Forest,6,1,succeeded,
pidd,XGBoost,6,1,succeeded,
pidd,RuleFit,6,1,succeeded,
pidd,BRL,6,1,succeeded,
pidd,EBM,6,1,succeeded,
pidd,EBRO-MH,6,2,succeeded,
pidd,LR,6,2,succeeded,
pidd,Random Forest,6,2,succeeded,
pidd,XGBoost,6,2,succeeded,
pidd,RuleFit,6,2,succeeded,
pidd,BRL,6,2,succeeded,
pidd,EBM,6,2,succeeded,
pidd,EBRO-MH,6,3,succeeded,
pidd,LR,6,3,succeeded,
pidd,Random Forest,6,3,succeeded,
pidd,XGBoost,6,3,succeeded,
pidd,RuleFit,6,3,succeeded,
pidd,BRL,6,3,succeeded,
pidd,EBM,6,3,succeeded,
pidd,EBRO-MH,6,4,succeeded,
pidd,LR,6,4,succeeded,
pidd,Random Forest,6,4,succeeded,
pidd,XGBoost,6,4,succeeded,
pidd,RuleFit,6,4,succeeded,
pidd,BRL,6,4,succeeded,
pidd,EBM,6,4,succeeded,
pidd,EBRO-MH,6,5,succeeded,
pidd,LR,6,5,succeeded,
pidd,Random Forest,6,5,succeeded,
pidd,XGBoost,6,5,succeeded,
pidd,RuleFit,6,5,succeeded,
pidd,BRL,6,5,succeeded,
pidd,EBM,6,5,succeeded,
pidd,EBRO-MH,7,1,succeeded,
pidd,LR,7,1,succeeded,
pidd,Random Forest,7,1,succeeded,
pidd,XGBoost,7,1,succeeded,
pidd,RuleFit,7,1,succeeded,
pidd,BRL,7,1,succeeded,
pidd,EBM,7,1,succeeded,
pidd,EBRO-MH,7,2,succeeded,
pidd,LR,7,2,succeeded,
pidd,Random Forest,7,2,succeeded,
pidd,XGBoost,7,2,succeeded,
pidd,RuleFit,7,2,succeeded,
pidd,BRL,7,2,succeeded,
pidd,EBM,7,2,succeeded,
pidd,EBRO-MH,7,3,succeeded,
pidd,LR,7,3,succeeded,
pidd,Random Forest,7,3,succeeded,
pidd,XGBoost,7,3,succeeded,
pidd,RuleFit,7,3,succeeded,
pidd,BRL,7,3,succeeded,
pidd,EBM,7,3,succeeded,
pidd,EBRO-MH,7,4,succeeded,
pidd,LR,7,4,succeeded,
pidd,Random Forest,7,4,succeeded,
pidd,XGBoost,7,4,succeeded,
pidd,RuleFit,7,4,succeeded,
pidd,BRL,7,4,succeeded,
pidd,EBM,7,4,succeeded,
pidd,EBRO-MH,7,5,succeeded,
pidd,LR,7,5,succeeded,
pidd,Random Forest,7,5,succeeded,
pidd,XGBoost,7,5,succeeded,
pidd,RuleFit,7,5,succeeded,
pidd,BRL,7,5,succeeded,
pidd,EBM,7,5,succeeded,
pidd,EBRO-MH,8,1,succeeded,
pidd,LR,8,1,succeeded,
pidd,Random Forest,8,1,succeeded,
pidd,XGBoost,8,1,succeeded,
pidd,RuleFit,8,1,succeeded,
pidd,BRL,8,1,succeeded,
pidd,EBM,8,1,succeeded,
pidd,EBRO-MH,8,2,succeeded,
pidd,LR,8,2,succeeded,
pidd,Random Forest,8,2,succeeded,
pidd,XGBoost,8,2,succeeded,
pidd,RuleFit,8,2,succeeded,
pidd,BRL,8,2,succeeded,
pidd,EBM,8,2,succeeded,
pidd,EBRO-MH,8,3,succeeded,
pidd,LR,8,3,succeeded,
pidd,Random Forest,8,3,succeeded,
pidd,XGBoost,8,3,succeeded,
pidd,RuleFit,8,3,succeeded,
pidd,BRL,8,3,succeeded,
pidd,EBM,8,3,succeeded,
pidd,EBRO-MH,8,4,succeeded,
pidd,LR,8,4,succeeded,
pidd,Random Forest,8,4,succeeded,
pidd,XGBoost,8,4,succeeded,
pidd,RuleFit,8,4,succeeded,
pidd,BRL,8,4,succeeded,
pidd,EBM,8,4,succeeded,
pidd,EBRO-MH,8,5,succeeded,
pidd,LR,8,5,succeeded,
pidd,Random Forest,8,5,succeeded,
pidd,XGBoost,8,5,succeeded,
pidd,RuleFit,8,5,succeeded,
pidd,BRL,8,5,succeeded,
pidd,EBM,8,5,succeeded,
pidd,EBRO-MH,9,1,succeeded,
pidd,LR,9,1,succeeded,
pidd,Random Forest,9,1,succeeded,
pidd,XGBoost,9,1,succeeded,
pidd,RuleFit,9,1,succeeded,
pidd,BRL,9,1,succeeded,
pidd,EBM,9,1,succeeded,
pidd,EBRO-MH,9,2,succeeded,
pidd,LR,9,2,succeeded,
pidd,Random Forest,9,2,succeeded,
pidd,XGBoost,9,2,succeeded,
pidd,RuleFit,9,2,succeeded,
pidd,BRL,9,2,succeeded,
pidd,EBM,9,2,succeeded,
pidd,EBRO-MH,9,3,succeeded,
pidd,LR,9,3,succeeded,
pidd,Random Forest,9,3,succeeded,
pidd,XGBoost,9,3,succeeded,
pidd,RuleFit,9,3,succeeded,
pidd,BRL,9,3,succeeded,
pidd,EBM,9,3,succeeded,
pidd,EBRO-MH,9,4,succeeded,
pidd,LR,9,4,succeeded,
pidd,Random Forest,9,4,succeeded,
pidd,XGBoost,9,4,succeeded,
pidd,RuleFit,9,4,succeeded,
pidd,BRL,9,4,succeeded,
pidd,EBM,9,4,succeeded,
pidd,EBRO-MH,9,5,succeeded,
pidd,LR,9,5,succeeded,
pidd,Random Forest,9,5,succeeded,
pidd,XGBoost,9,5,succeeded,
pidd,RuleFit,9,5,succeeded,
pidd,BRL,9,5,succeeded,
pidd,EBM,9,5,succeeded,
