dataset,experiment,value,n_training,training_time_seconds,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
nhanes_dm,training_fraction,0.05,384,1.924467865999759,0.6683886215245687,0.3386034255599473,0.12791545074501676,0.026546196227328955,0.415168153418844,-0.15026202640704878,0.9093879987311015
nhanes_dm,training_fraction,0.1,768,4.227746156000649,0.6788735500947142,0.3595933926302414,0.12575131757925387,0.03154293140768139,0.4102046451199005,-0.08944462713247242,0.9414657734870445
nhanes_dm,training_fraction,0.2,1537,3.150814906999585,0.717703865016837,0.38571428571428573,0.1208052842664358,0.012158516907923106,0.39398319179912783,0.007156096501766477,1.0112605214186383
nhanes_dm,training_fraction,0.4,3075,2.2200024679996204,0.7193231879053297,0.4047936085219707,0.1236929494007639,0.028607345235619985,0.3995962891969795,-0.1653274677642568,0.8988051234995045
nhanes_dm,training_fraction,0.8,6150,2.70324095199976,0.6932628183503965,0.36910569105691055,0.12589993642691508,0.013881061133968536,0.4086503628320797,-0.1966814580517327,0.8900055412174869
nhanes_dm,training_fraction,1.0,7688,2.9161971900002754,0.7061954445378168,0.3739946380697051,0.1242064130922589,0.022180518078870812,0.40287241217150466,-0.08323882767814281,0.9596328410190302
nhanes_dm,particles,5.0,7688,2.873557369000082,0.657397685740577,0.34657039711191334,0.1267122703441016,0.010717405172616046,0.4158414388343464,0.1418972589655723,1.072972770009651
nhanes_dm,particles,10.0,7688,2.9212134949993924,0.6769039145197123,0.3464665415884928,0.1253773275067421,0.018856966113870745,0.40928746940020394,-0.08091586573292468,0.9492381891595314
nhanes_dm,particles,20.0,7688,3.169347058999847,0.7061954445378168,0.3739946380697051,0.1242064130922589,0.022180518078870812,0.40287241217150466,-0.08323882767814281,0.9596328410190302
nhanes_dm,particles,30.0,7688,3.4806251580002936,0.730043155329244,0.3878787878787879,0.12201519386219689,0.03052490892345294,0.39396427550741653,-0.007159308560885697,1.0080652178613687
nhanes_dm,particles,50.0,7688,4.2332968090004215,0.7434837848141946,0.39497307001795334,0.12019617366123111,0.025803819617613508,0.3877313563348188,0.019248734806435117,1.0247320896329306
nhanes_dm,particles,100.0,7688,5.208563563000098,0.7446190574093629,0.39105431309904154,0.12020842922099353,0.034591388948768495,0.38831765741201335,-0.024977184551638717,0.9925770306219283
nhanes_dm,batch_size,16.0,7688,3.164843789999395,0.7092963605406194,0.372,0.1237726182829545,0.0254501965587683,0.40143746489289267,-0.07629888781449165,0.9629185492447648
nhanes_dm,batch_size,32.0,7688,3.0311804299999494,0.7071860010659087,0.3722481654436291,0.12406309584855842,0.021647765897902613,0.4023962325712551,-0.08038066944043491,0.9610932495070905
nhanes_dm,batch_size,64.0,7688,2.917331161999755,0.7061954445378168,0.3739946380697051,0.1242064130922589,0.022180518078870812,0.40287241217150466,-0.08323882767814281,0.9596328410190302
nhanes_dm,batch_size,128.0,7688,2.9738994469998943,0.7067124302119243,0.37322515212981744,0.1241405735753398,0.02243366630361633,0.4026355879040907,-0.0817228801178406,0.960618732784315
nhanes_dm,batch_size,256.0,7688,2.825658407999981,0.7067398763625766,0.37322515212981744,0.12418578921589102,0.022816860465768106,0.40279231621856604,-0.08170777925572724,0.9606148138575324
