method,bin_index,mean_predicted_probability,observed_rate,n
BRL,1,0.14400743545146144,0.06809338521400778,514
BRL,2,0.14822596713322322,0.13549618320610687,524
BRL,3,0.15049361402007466,0.11869918699186992,615
BRL,4,0.15135003572820308,0.10741687979539642,391
BRL,5,0.15292953506906384,0.1541501976284585,506
BRL,6,0.1555265374899175,0.19384057971014493,552
BRL,7,0.157450545263752,0.13970588235294118,544
BRL,8,0.15942537562685924,0.24427480916030533,524
BRL,9,0.16165655098495943,0.16933638443935928,437
BRL,10,0.16555113250167822,0.29559748427672955,477
EBM,1,0.011997367936023297,0.011787819253438114,509
EBM,2,0.026178354623910376,0.015748031496062992,508
EBM,3,0.04480824855830413,0.021653543307086614,508
EBM,4,0.07085446468730602,0.03339882121807466,509
EBM,5,0.10654030569162005,0.07677165354330709,508
EBM,6,0.1539482527408902,0.09448818897637795,508
EBM,7,0.2164030202253139,0.18860510805500982,509
EBM,8,0.2886287412379163,0.281496062992126,508
EBM,9,0.3999090908954835,0.3425196850393701,508
EBM,10,0.6015453690272485,0.555992141453831,509
EBRO-MH,1,0.05962886222458147,0.0137524557956778,509
EBRO-MH,2,0.07026882517688472,0.02952755905511811,508
EBRO-MH,3,0.08535323662519388,0.03740157480314961,508
EBRO-MH,4,0.10371344048422958,0.05252918287937743,514
EBRO-MH,5,0.1254690623190984,0.10139165009940358,503
EBRO-MH,6,0.15138972583330434,0.15428571428571428,525
EBRO-MH,7,0.17914157099396577,0.21341463414634146,492
EBRO-MH,8,0.22375311086165053,0.2578740157480315,508
EBRO-MH,9,0.29350683594163246,0.32086614173228345,508
EBRO-MH,10,0.44510134726182604,0.444007858546169,509
LR,1,0.016847104835038474,0.015717092337917484,509
LR,2,0.03219633849069133,0.013779527559055118,508
LR,3,0.048852287215247925,0.025590551181102362,508
LR,4,0.0707289017039069,0.05697445972495088,509
LR,5,0.099352721466004,0.07874015748031496,508
LR,6,0.13816896350440347,0.12992125984251968,508
LR,7,0.192845090659461,0.2043222003929273,509
LR,8,0.2634649780668072,0.25393700787401574,508
LR,9,0.3647626693442959,0.34448818897637795,508
LR,10,0.564354758823794,0.49901768172888017,509
Random Forest,1,0.010908328041993648,0.009823182711198428,509
Random Forest,2,0.02968829018726486,0.013779527559055118,508
Random Forest,3,0.05159728616515821,0.03543307086614173,508
Random Forest,4,0.07942107020918805,0.04518664047151277,509
Random Forest,5,0.11312328909494232,0.06299212598425197,508
Random Forest,6,0.15859669366535525,0.11614173228346457,508
Random Forest,7,0.21480678053963398,0.17681728880157171,509
Random Forest,8,0.28785459960532817,0.27165354330708663,508
Random Forest,9,0.39476767074920416,0.3799212598425197,508
Random Forest,10,0.5708367021019505,0.5108055009823183,509
RuleFit,1,0.02147203694746614,0.009823182711198428,509
RuleFit,2,0.031666694222402876,0.015748031496062992,508
RuleFit,3,0.04737083985231122,0.031496062992125984,508
RuleFit,4,0.06812113219649193,0.047151277013752456,509
RuleFit,5,0.09739750223239838,0.07086614173228346,508
RuleFit,6,0.1378014804201476,0.13188976377952755,508
RuleFit,7,0.19321871368894084,0.1925343811394892,509
RuleFit,8,0.2668626111807867,0.25196850393700787,508
RuleFit,9,0.36965067152318754,0.3543307086614173,508
RuleFit,10,0.5674888565281522,0.5166994106090373,509
XGBoost,1,0.01724410150902097,0.005893909626719057,509
XGBoost,2,0.03426795209613605,0.021653543307086614,508
XGBoost,3,0.05370941060343481,0.03937007874015748,508
XGBoost,4,0.07850845558781741,0.0412573673870334,509
XGBoost,5,0.1121011174609349,0.07874015748031496,508
XGBoost,6,0.1539341532098442,0.10236220472440945,508
XGBoost,7,0.2102452453715978,0.16895874263261296,509
XGBoost,8,0.27986983183492514,0.2618110236220472,508
XGBoost,9,0.3815087329207944,0.37401574803149606,508
XGBoost,10,0.5719748681412445,0.5284872298624754,509
