method,subgroup_variable,subgroup_level,n,positive_n,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
BRL,sex,1.0,2495,435,0.6200965294052003,0.29743589743589743,0.14361161696789246,0.019822248545645543,0.46137500270986564,13.774486754312228,9.051831141232666
BRL,sex,2.0,2589,390,0.6021787292592204,0.26200873362445415,0.12738879676251083,0.0038296505169497508,0.42169722519021097,12.798789692698595,8.574241776497884
EBM,sex,1.0,2495,435,0.8514250641669456,0.4928615766604593,0.10773794125216857,0.032390061497876294,0.3432687232306399,-0.05646817879074821,1.2194990138588806
EBM,sex,2.0,2589,390,0.8163815720432365,0.43724137931034485,0.10524692029799315,0.030231779225357705,0.3395734522834521,-0.2873353506694499,0.9886121169647474
EBRO-MH,sex,1.0,2495,435,0.784117843990626,0.4232456140350877,0.12341266517636182,0.031195709925248595,0.3953230646293264,0.3144448946804013,1.3496318428571377
EBRO-MH,sex,2.0,2589,390,0.7787426685789578,0.41937624419376246,0.11260222045054986,0.032898768890176434,0.3666229765825867,0.3482157494712156,1.2792191515829459
LR,sex,1.0,2495,435,0.8311338020310233,0.49032258064516127,0.11336929149567995,0.018652572688526065,0.35835577145702646,-0.019753607381201955,1.1245812074757982
LR,sex,2.0,2589,390,0.7871083592775271,0.42332613390928725,0.10988393113104107,0.01847523338671712,0.3549244002676094,-0.2565493551622207,0.9122949787472546
Random Forest,sex,1.0,2495,435,0.8324528512442809,0.4796044499381953,0.11268127164110767,0.03143701408857942,0.35980957481139986,-0.1344511930909851,1.1294237140339183
Random Forest,sex,2.0,2589,390,0.8114107811242872,0.429042904290429,0.10748978261019058,0.027867222009715288,0.3443541288259559,-0.1949682906345353,1.0441114705193222
RuleFit,sex,1.0,2495,435,0.8325298515790648,0.49429147078576224,0.11249295873637688,0.020981354244905135,0.35532055955431396,-0.04271003305397649,1.1176686079387879
RuleFit,sex,2.0,2589,390,0.7987640069495459,0.43543543543543545,0.10778900167762434,0.017598333178235604,0.34837269224450246,-0.15352302738578627,1.0001537265525413
XGBoost,sex,1.0,2495,435,0.8401361455194732,0.478180700676091,0.10979544764319606,0.03575451071047075,0.35237530960145413,0.0009873162003839985,1.2178086890794428
XGBoost,sex,2.0,2589,390,0.8077506092512914,0.42408376963350786,0.1066024121354021,0.02923310922797385,0.34403676735933536,-0.19332513159593487,1.058027190751647
BRL,age_group,20-39,1634,41,0.6070231041293463,0.04910179640718563,0.040783013625835404,0.128056666029432,0.2087383610410648,10.388046651950095,8.252827101304126
BRL,age_group,40-59,1727,245,0.622695474951114,0.24873096446700507,0.12130081736091779,0.012828444017334156,0.4066795755533189,13.448141385250779,9.012903314827884
BRL,age_group,60-79,1723,539,0.5697425161710876,0.4765694076038904,0.23911469721770875,0.1572494834840573,0.6961640388026055,8.419781867805197,5.446953229110283
EBM,age_group,20-39,1634,41,0.7155849524596941,0.14583333333333334,0.02441365203651878,0.019390470948799858,0.11326643592143103,-0.8378274670891921,0.9182120360007483
EBM,age_group,40-59,1727,245,0.76565038971054,0.3798767967145791,0.10719345754521671,0.038016300587835665,0.35545909132782083,-0.26758682083107477,1.045520602050896
EBM,age_group,60-79,1723,539,0.7388635736850022,0.5243596182822702,0.18356090044538825,0.03477661148021384,0.5436192254228318,-0.13819668016569253,1.0608832770774252
EBRO-MH,age_group,20-39,1634,41,0.6882703290309738,0.10289389067524116,0.031163176117588932,0.07674210548198937,0.156625172772036,-1.135262285768742,1.199519312496052
EBRO-MH,age_group,40-59,1727,245,0.7366506926657301,0.35765124555160144,0.11174552310974983,0.03290001979186495,0.37084853227748654,-0.03452979397073339,1.1733781636251395
EBRO-MH,age_group,60-79,1723,539,0.6643496464925036,0.5116033755274262,0.20634741739687643,0.07695096701503548,0.6030974956876147,0.206158266548556,0.829333870479217
LR,age_group,20-39,1634,41,0.7151715584952458,0.17699115044247787,0.024858724487114448,0.029275446282174857,0.11674563238513012,-0.9537103970026549,0.9570778731149177
LR,age_group,40-59,1727,245,0.7313448456305599,0.3839611178614824,0.11072600680363143,0.01358070376074402,0.3676205733331802,-0.19227588187633723,0.9207986666775159
LR,age_group,60-79,1723,539,0.6891374793160506,0.5052421367948078,0.1947202033767675,0.02138406730227499,0.573043429259673,-0.17980984914012965,0.837494483912993
Random Forest,age_group,20-39,1634,41,0.7284920306830186,0.14184397163120568,0.025700218655317037,0.03351338262428078,0.12151654487426077,-1.1637890540476061,0.8902242765387091
Random Forest,age_group,40-59,1727,245,0.7537277259081772,0.3665024630541872,0.1085262047630661,0.027334670387424913,0.3604114279178768,-0.17046483384086725,1.0401981405177398
Random Forest,age_group,60-79,1723,539,0.7125730206087348,0.5230146686899343,0.19153331805788967,0.030896782503751746,0.5619670100673981,-0.18569066773233264,0.9286320617047248
RuleFit,age_group,20-39,1634,41,0.7301685728721694,0.15873015873015872,0.024065128322498384,0.021552656005453218,0.11347750841220554,0.40906564464490747,1.3741830115007518
RuleFit,age_group,40-59,1727,245,0.7356922526095458,0.37184594953519257,0.11010430195723195,0.019746675776016527,0.36448765442566744,0.01764454744288191,1.028132933977906
RuleFit,age_group,60-79,1723,539,0.7068990372561801,0.5117206982543641,0.1916791109875379,0.032276033483531884,0.5650431041035163,-0.1642375933281071,0.9880325380845019
XGBoost,age_group,20-39,1634,41,0.7139466874894739,0.14659685863874344,0.02721559466096438,0.04039538471097868,0.12722454349286946,-1.380921481250797,0.8558958585512654
XGBoost,age_group,40-59,1727,245,0.7494147456553472,0.3659491193737769,0.1098077864720427,0.03425406910202183,0.36299833331441544,-0.3274910821709338,0.9635031235950046
XGBoost,age_group,60-79,1723,539,0.7342911673268817,0.5272914521112255,0.18329945326471075,0.02263110534548926,0.5427188406544418,-0.025034461057165953,1.0372204879883296
BRL,race_ethnicity,1.0,705,137,0.5515382440629176,0.3254156769596199,0.15761199196720285,0.037676046756968534,0.49611450237870314,6.3001544696412815,4.593817311473616
BRL,race_ethnicity,2.0,494,79,0.5504346499923746,0.2757417102966841,0.13403059072440995,0.0029863873528482854,0.43835745078959504,6.701394158776569,4.980859870337317
