method,repeat,status,message
EBRO-MH,0,succeeded,
LR,0,succeeded,
Random Forest,0,succeeded,
XGBoost,0,succeeded,
RuleFit,0,succeeded,
BRL,0,succeeded,
EBM,0,succeeded,
EBRO-MH,1,succeeded,
LR,1,succeeded,
Random Forest,1,succeeded,
XGBoost,1,succeeded,
RuleFit,1,succeeded,
BRL,1,succeeded,
EBM,1,succeeded,
EBRO-MH,2,succeeded,
LR,2,succeeded,
Random Forest,2,succeeded,
XGBoost,2,succeeded,
RuleFit,2,succeeded,
BRL,2,succeeded,
EBM,2,succeeded,
EBRO-MH,3,succeeded,
LR,3,succeeded,
Random Forest,3,succeeded,
XGBoost,3,succeeded,
RuleFit,3,succeeded,
BRL,3,succeeded,
EBM,3,succeeded,
EBRO-MH,4,succeeded,
LR,4,succeeded,
Random Forest,4,succeeded,
XGBoost,4,succeeded,
RuleFit,4,succeeded,
BRL,4,succeeded,
EBM,4,succeeded,
EBRO-MH,5,succeeded,
LR,5,succeeded,
Random Forest,5,succeeded,
XGBoost,5,succeeded,
RuleFit,5,succeeded,
BRL,5,succeeded,
EBM,5,succeeded,
EBRO-MH,6,succeeded,
LR,6,succeeded,
Random Forest,6,succeeded,
XGBoost,6,succeeded,
RuleFit,6,succeeded,
BRL,6,succeeded,
EBM,6,succeeded,
EBRO-MH,7,succeeded,
LR,7,succeeded,
Random Forest,7,succeeded,
XGBoost,7,succeeded,
RuleFit,7,succeeded,
BRL,7,succeeded,
EBM,7,succeeded,
EBRO-MH,8,succeeded,
LR,8,succeeded,
Random Forest,8,succeeded,
XGBoost,8,succeeded,
RuleFit,8,succeeded,
BRL,8,succeeded,
EBM,8,succeeded,
EBRO-MH,9,succeeded,
LR,9,succeeded,
Random Forest,9,succeeded,
XGBoost,9,succeeded,
RuleFit,9,succeeded,
BRL,9,succeeded,
EBM,9,succeeded,
