method,repeat,seed,n_test,positive_test,threshold,training_time_seconds,initializer_mode,reviewed_rule_count,auc,f1,brier,ece,log_loss,calibration_intercept,calibration_slope
EBRO-MH,0,42,5084,825,0.154236284622548,2.6470116709997455,hybrid,0,0.7289071983037703,0.3975812547241119,0.12338204057286785,0.023683225964191066,0.39941200084447814,0.17871098806483823,1.1003168493315132
LR,0,42,5084,825,0.13086183715302654,0.029085610000038287,not_applicable,0,0.8080346076401489,0.44724409448818897,0.11303498367007346,0.020565693712887353,0.36012473515625665,-0.24882923439777588,0.929351836389714
Random Forest,0,42,5084,825,0.1355210253340319,2.8966015030000563,not_applicable,0,0.82088724768227,0.4364067595612215,0.11152790870564663,0.037119008997048154,0.35719877124574734,-0.32278507194412376,0.9939875263876092
XGBoost,0,42,5084,825,0.09505127830385846,0.3770176949992674,not_applicable,0,0.8149463168904353,0.39884846898717613,0.11099521907988161,0.032453036026824686,0.3558933308758672,-0.28784552932822033,0.992592183868681
RuleFit,0,42,5084,825,0.12516012616204522,5.290811706999193,not_applicable,0,0.8153614093506086,0.44809088040391293,0.11082892482767984,0.02087883300734848,0.3538245909630336,-0.21937441334456437,0.9689165914493052
BRL,0,42,5084,825,0.15009842970249437,21.412119280999832,not_applicable,0,0.4996221904416316,0.2792350651548485,0.13601969382966367,0.006930743440717924,0.44372277854683634,-0.4247322431683306,0.7181355727999605
EBM,0,42,5084,825,0.1230227052556385,13.533281265000369,not_applicable,0,0.8301462144336058,0.44223826714801445,0.10871674705865415,0.033975096171576,0.3466697392971545,-0.34980675556401464,0.9500370206954485
EBRO-MH,1,123,5084,825,0.10733892601309113,4.643799572999342,hybrid,0,0.7367504108945762,0.377379010331702,0.12689757915431502,0.03919003042999553,0.4054053821512498,-0.4869451022723937,0.7729017972126809
LR,1,123,5084,825,0.1718502462807964,0.028344366000055743,not_applicable,0,0.8085073320668531,0.46787968808020797,0.1130160807450313,0.02036037591850542,0.359797223426722,-0.32865912661416846,0.8433027813826975
Random Forest,1,123,5084,825,0.13497474537882928,5.404531056000451,not_applicable,0,0.8164155762840899,0.4413879337292904,0.11186994059253523,0.02682358541155725,0.35706701730701845,-0.379601065194669,0.8556255744755363
XGBoost,1,123,5084,825,0.1679308600584448,0.5091649760006476,not_applicable,0,0.8104622652920376,0.46734909989410517,0.1122053873686063,0.025066955697418927,0.3584887979209746,-0.3725582188150002,0.8566156011636665
RuleFit,1,123,5084,825,0.15775439840721203,4.182269794999229,not_applicable,0,0.8082250065814283,0.4642324888226528,0.11297666276549738,0.020471118198312526,0.3588540550467313,-0.24506800372799098,0.8861511535354183
BRL,1,123,5084,825,0.19010832099419084,22.08340622200012,not_applicable,0,0.5950009605327755,0.3225806451612903,0.13387255376471366,0.007090678435150821,0.43585984643486825,1.7498685284445847,2.0159106309328845
EBM,1,123,5084,825,0.19825930524295818,13.479379446999701,not_applicable,0,0.8301413761944404,0.49135987978963186,0.10913983959676966,0.03292288528178355,0.34627833592617097,-0.40107500064307017,0.891030887898089
EBRO-MH,2,2024,5084,825,0.12391030775289609,7.569033433000186,hybrid,0,0.7562115164322255,0.382205843643064,0.12053663997100977,0.02460650072900581,0.3913803262525301,0.19513262791345565,1.2678744510383761
LR,2,2024,5084,825,0.18633731368526352,0.08395001900044008,not_applicable,0,0.8093662618198894,0.47067502766506825,0.11223811291105058,0.027179519456054856,0.36152287277630046,0.23388378302337468,1.2910246650265087
Random Forest,2,2024,5084,825,0.23746540629423477,6.3483104409997395,not_applicable,0,0.819568116003899,0.49524596940884663,0.11030073575512013,0.02991923440016957,0.35469581123812416,-0.08449982211024541,1.1359200386771549
XGBoost,2,2024,5084,825,0.15243374184670044,0.7600442290004139,not_applicable,0,0.8165146178858319,0.45123537061118335,0.10973144597956927,0.02237682430512661,0.35292244029326103,-0.026706301107228637,1.148039629664249
RuleFit,2,2024,5084,825,0.1857159845281129,6.961143585000173,not_applicable,0,0.8078203021053456,0.46211272863008584,0.11171244527274998,0.022130352792604033,0.3577872191398061,-0.0437930961444196,1.0952981116855354
BRL,2,2024,5084,825,0.15423514538558786,23.61373432399978,not_applicable,0,0.5,0.2792350651548485,0.13600563391038645,0.008038654771768516,0.4436654591148093,,
EBM,2,2024,5084,825,0.15813187544637652,12.156638288000067,not_applicable,0,0.8309985983336535,0.45918367346938777,0.10699461078498752,0.027300980468743,0.34491907453382037,0.09602994801850395,1.2743414592806634
EBRO-MH,3,3407,5084,825,0.1502369826177041,2.3717036930001996,hybrid,0,0.7688233829252848,0.4265463917525773,0.12070007803237229,0.026245721414763928,0.38348651327298505,-0.28955507436091255,0.8791707858983502
LR,3,3407,5084,825,0.1344496788531324,0.023450869000043895,not_applicable,0,0.8153335183248308,0.44660804020100503,0.11074588959990163,0.022857780092110435,0.3536003286651409,-0.19458360867749977,1.005685659585051
Random Forest,3,3407,5084,825,0.18605890974209155,3.3171931430006225,not_applicable,0,0.8185338712316876,0.47390691114245415,0.11075582543578404,0.029385675582844335,0.35400840293472025,-0.20883664730559107,1.0434197378231866
XGBoost,3,3407,5084,825,0.21501703484733511,0.30886763499984227,not_applicable,0,0.8137548293453436,0.4770070148090413,0.11089054697479418,0.029602171475858956,0.3550839508498743,-0.2753116240239196,0.9828740570244552
RuleFit,3,3407,5084,825,0.22521205480431816,3.906950601999597,not_applicable,0,0.8111912740933639,0.4748743718592965,0.11229821240960967,0.02144822974903121,0.3567398852439368,-0.21228639992708506,0.9758447678921974
BRL,3,3407,5084,825,0.16477948933930917,21.543776882999737,not_applicable,0,0.575589518097149,0.307823613086771,0.1350214321951957,0.013202904942167443,0.4398264260467958,2.4668842244553755,2.369028825493288
EBM,3,3407,5084,825,0.16014535578630748,16.01447694200033,not_applicable,0,0.8315968323763582,0.47516052720513685,0.1065777464637914,0.02263971278751482,0.3411649485639414,-0.17225193304109812,1.0296812917205773
